,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOF Name,Ref Code,Application,Recommendation,Justification,Source,Original Application Name
448,448,448.0,448,Cu(L1)2<|>Compound 2,ODIVAZ,Photoluminescence,Investigated,"The luminescent properties of L1−L2 and their polymeric compounds 1−6 were investigated in the solid state. Their fluorescence spectra are summarized in Table. As indicated in Figure, in the solid state, L1 exhibits two emission maximum at 392 nm with a shoulder peak at 404 nm (λex= 333 nm), while L2 exhibits one emission maximum at 471 nm (λex= 402 nm). Compounds 1−3 based on L1 show an intense emission maximum at 410 nm with a shoulder at 383 nm for 1 (λex= 355 nm, Figure), 450 nm with a shoulder band at 425 nm for 2 (λex= 361 nm), and 451 nm with a shoulder at 423 nm for 3 (λex= 364 nm), respectively.",10.1021/cg060583+,Luminescent materials
454,454,454.0,454,FJI-C2,QALHIX,Water Purification,Recommended,The selective adsorption of dye molecules based on charge- or size-exclusion and dye-releasing experiments proved that the MB can enter the voids of FJI-C2.,10.1021/acs.inorgchem.6b00019,Dye adsorption
465,465,465.0,465,MFM-300(Ga2)<|>MFM-300(Ga2)-solv,TAKTEH,Carbon Capture,Recommended,"We report herein the synthesis and structural characterization of a Ga­(III)-based metal–organic material [Ga2(OH)2(L)]·1.6DMF·4H2O [denoted as MFM-300­(Ga2)-solv; MFM = Manchester Framework Material replacing NOTT designation], which is found to be isostructural with the previously reported MFM-300­(Al2), and, to the best of our knowledge, shows the highest CO2 uptake (20.8 wt % at 195 K, 1 bar) for Ga-based MOFs.",10.1021/acs.inorgchem.5b02108,CO2 capture
466,466,466.0,466,Fe4O2(BTB)8/3(DMF)2(H2O)2·(DMF)10(H2O)2<|>compound 1,TISHAF,Carbon Capture,Recommended,"Material 1 also shows an enhanced affinity for CO2 compared to many other porous MOFs. Adsorption isotherm data measured over a range of temperature (see Figure a) were used to calculate the isosteric adsorption enthalpy, giving values of 28.3 kJ mol−1 by the Toth method and 26.4 kJ mol−1 using a variant of the Clausius–Clapeyron equation. At 273 K, under low-pressure (<1 bar) conditions, material 1 demonstrated a greater uptake of CO2 than several other well-known, highly porous MOFs (Figure b).",10.1021/cg070640e,CO2 storage
479,479,479.0,479,"Cu(3,4′-bpdc)(H2O)·DMF·2H2O<|>Compound 1<|>1",MOYYEF,Hydrogen Storage,Investigated,"""Besides their interesting structures, both of them possess larger 1-D channels and show the ability to adsorb H2."" ""Although the hydrogen uptake of 1 and 2 are lower than some MOFs reported with high hydrogen storage (such as MOF-505 and UMCM-150), to our knowledge the hydrogen uptake of 1 is comparable with many MOFs such as [Ni-(cyclam)(bpydc)] of 1.8 wt% and MOF-74 of 2.3%.""",10.1021/cg801026y,Hydrogen storage
480,480,480.0,480,"Cu(3,4′-bpdc)(H2O)·2DMF·4.5H2O<|>Compound 2<|>2",MOYYIJ,Hydrogen Storage,Investigated,"The high-pressure hydrogen adsorption of 1 and 2 were evaluated at 77 K. The samples were activated by the procedure described above in Experimental Section. The H2 sorption isotherms of both complexes show type I behavior with no hysteresis and no noticeable change in properties upon repeated cycling. At 10 bar, 1 and 2 showed a gravimetric H2 uptake of 2.26 and 1.64 wt %, which corresponds to a H2 storage capacity of 251.1 mL·g−1 and 182.2 mL·g−1 (Figure b).",10.1021/cg801026y,Hydrogen storage
481,481,481.0,481,1<|>phase 1,MIFGEP01,Carbon Capture,Investigated,"Adsorption isotherms of phases 1 (top) and 2 (bottom) for several gas molecules. The sorption measurements were carried out for CO2 (red), C2H4 (brown), and C2H6 (blue) at 195 K and N2 (black) at 77 K.",10.1021/cg301476p,CO2 adsorption
496,496,496.0,496,CPM-201,TAGVAB,Carbon Capture,Recommended,"Notably, these Mg-MOFs exhibit significant CO2 uptake capacity (Figure). At 273 K and 1 atm, the CO2 uptakes reach 40.7 cm3g–1 (CPM-201)... The open Mg sites from removing the coordinated water or solvent molecules likely contribute to the CO2 uptake capacities.",10.1021/acs.cgd.5b01297,CO2 adsorption
497,497,497.0,497,CPM-202,TAGTED,Carbon Capture,Investigated,"Compared to the CO2 adsorption, these Mg-MOFs adsorb much less CH4 (Figure). The CH4 uptakes for CPM-201–CPM-205 at 273 K and 1 atm are 4.0, 1.7, 3.2, 3.0, and 3.7 cm3g–1, respectively. The CO2/CH4 uptake ratios are estimated to be ca. 31.0–10.1 (CPM-201), 25.9–24.1 (CPM-202), 19.4–16.6 (CPM-203), 8.0–7.9 (CPM-204), and 12.6–6.0 (CPM-205) between 0.015 and 1 bar, which are higher than the values of many well-known ZIFs and MOFs.",10.1021/acs.cgd.5b01297,CO2 adsorption
498,498,498.0,498,CPM-203,TAGTIH,Carbon Capture,Recommended,"Notably, these Mg-MOFs exhibit significant CO2 uptake capacity... the interactions between charged Mg-MOF frameworks (CPM-203) and CO2 are obviously enhanced, leading to the highest CO2 uptake capacity among these CPMs.",10.1021/acs.cgd.5b01297,Carbon Dioxide (CO2) Capture
499,499,499.0,499,CPM-205,TAGTUT,Carbon Capture,Investigated,"Notably, these Mg-MOFs exhibit significant CO2 uptake capacity (Figure). At 273 K and 1 atm, the CO2 uptakes reach 40.7 cm3g–1 (CPM-201), 40.9 cm3g–1 (CPM-202), 53.1 cm3g–1 (CPM-203), 23.6 cm3g–1 (CPM-204), and 22.0 cm3g–1 (CPM-205), respectively.",10.1021/acs.cgd.5b01297,CO2 capture
502,502,502.0,502,Zn(S2CC6H4CS2)(DMF)2<|>compound 1<|>1,VIRJOW,Optical Devices,Investigated,"In conclusion, the present work demonstrates that it is possible to construct crystalline coordination polymers based on the tetrathioterephthalate dianion as the bridging ligand. We anticipate that the two novel 1D M(S2CC6H4CS2)(DMF)2 (M = Zn, Mn) compounds represent the first members of a new family of optoelectronically active metal−organic materials.",10.1021/ic701414v,Optoelectronic properties
508,508,508.0,508,CPM-200-In/Ni,VALXIS,Carbon Capture,Investigated,"The document mentions ""N2, CO2, and H2 sorption study on CPM-200s."" However, it does not provide a specific recommendation regarding the performance of CPM-200-In/Ni for CO2 sorption.",10.1021/jacs.5b13491,CO2 sorption
520,520,520.0,520,Cr MIL-53<|>MIL-53 deuterium,LURLOB,Hydrogen Storage,Investigated,"""Hydrogen adsorption in nanoporous materials relies on sufficient strength of the adsorption interaction and the number of adsorption sites. The former determines the operation temperatures and pressures, and the latter determines the storage capacity."" ""Hydrogen adsorption in MOFs has characteristic adsorption enthalpies much lower than the enthalpies of formation of many light metal hydrides. In principle, there is an advantage to this low adsorption interaction because this opens the possibility to have rapid hydrogen adsorption into MOFs for hydrogen storage purposes, without running into the limitations of adsorption heat transport out of the storage material.""",10.1021/jp102463p,Hydrogen storage
523,523,523.0,523,{[Cd­(azbpy)­(mglu)]·5­(H2O)}(n3)<|>compound 3,TELTUC,Carbon Capture,Investigated,"We have also performed CO2 adsorption selectivity study for the azo-functionalized Cd­(II)-MOFs of 2–4, where the dehydrated framework of 2 exhibits a typical type-IV enhanced selective CO2 adsorption over N2.",10.1021/acs.inorgchem.7b02435,Selective carbon dioxide adsorption
526,526,526.0,526,Zn­(μ4-tdc)­(μ-pbmeix)0.5<|>Complex 4,FIQYOV01,Optical Devices,Investigated,"Moreover, photoluminescence spectra of the complexes showed that complexes 2 and 5 exhibited high emission in the other complexes and the emissions of complexes shifted blue compared to free tdc ligand. Complexes can be used for optical devices.",10.1021/acs.cgd.5b00276,Optical devices
536,536,536.0,536,[(Eu2(TDC)3(CH3OH)2·(CH3OH)]<|>compound 1,HOXKIP,Photoluminescence,Investigated,"The intense, long-lived, and line-like emission of lanthanides such as Eu(III) and Tb(III) in the visible region has made them of widespread interest for a range of applications from biological assays to display devices.",10.1021/cg800531y,Fluorescent materials
538,538,538.0,538,[(Tb2(TDC)3(H2O)4]<|>compound 3,HOXKOV,Photoluminescence,Investigated,"From the results discussed above, we could presume that the energy gaps of the lanthanide ions are comparable with the triplet state energy of the thiophene-carboxylate ligand, which make these compounds potential fluorescent materials.",10.1021/cg800531y,Fluorescent materials
541,541,541.0,541,{Cd(ndc)(bpp)23}∞(6)<|>Complex 6,UNIPEN,Photoluminescence,Investigated,"Complexes 1−6 show blue fluorescent emissions at room temperature, mainly owing to the bulk naphthalene ring of ndc.",10.1021/cg100645p,Photoluminescence
544,544,544.0,544,[Cd2(ndc)2(phen)2]∞(3)<|>Complex 3,UNINOV,Photoluminescence,Investigated,Metal−organic coordination complexes constructed from d10 metal centers and conjugated organic ligands are promising candidates for hybrid photoactive materials with potential applications such as light-emitting diodes (LEDs)... solid-state emission spectra of the as-synthesized CdII complexes 1−6 have been investigated at room temperature.,10.1021/cg100645p,Photoluminescence
551,551,551.0,551,[Sm3(HL)(C2O4)4(H2O)4]·2H2O<|>Compound 3,FUFNIE,Photoluminescence,Not Recommended,"Compared with the emission spectra of the four compounds (3, 4, 6, and 7), the transition intensity of compound 3 is the weakest. The low emission intensity for Sm3+ ions implies that the efficiency of energy transfer from ligands to metals is lower than that to Eu3+, Tb3+ and Dy3+.",10.1021/cg8013128,Luminescent materials
570,570,570.0,570,I_I<|>I_I2,KOZSOJ,Electrical Conductivity,Recommended,"As evidenced from high electrical conductivities, the 1-D polyiodine chains in the micropores behaved as molecular wires. As evidenced from I–V characteristics, the electrically conducting properties of polyiodine chains were preserved.",10.1021/cg501324r,Electrical conductivity
584,584,584.0,584,[Hdma]­·[Zn4F5(amtetraz)4]<|>compound 5,RUMRUO,Gas Adsorbent Material,Investigated,A supposed topoctatic transformation after elimination of dimethylammonium fluoride could open the access to insaturated metal sites that favor gas absorption.,10.1021/acs.cgd.5b00530,Gas absorption
591,591,591.0,591,rho-ZMOF<|>2,GOBGAG,Hydrogen Storage,Investigated,"The dual character of ZMOFs, anionic frameworks and/or containing large accessible cavities, forms a suitable platform to evaluate the effect of pore size and/or intra-/extraframework charge density on the hydrogen uptake and its sorption energetics. Accordingly, hydrogen sorption studies were conducted on both compounds at 78 and 87 K and atmospheric pressure.",10.1021/ja710616j,Hydrogen storage
592,592,592.0,592,FIR-1<|>FIR-1-ht,CAWVIH,Gas Adsorbent Material,Investigated,"The document discusses the microporous Zinc Tris[(4-carboxyl)phenylduryl]amine Framework (FIR-1) and its gas adsorption isotherms, indicating its investigation for gas storage and separation applications. Specific gases mentioned include N2, H2, and CO2.",10.1021/ic202713e,Gas storage and separation
595,595,595.0,595,[Co7(OH)4(H2O)2(ina)4(ip)3]·10H2O<|>1·10H2O,BIRSEC,Hydrogen Storage,Investigated,"Besides, the activated samples of 1 and 2 show storage capacity for H2 and CO2.",10.1021/ic401912k,Hydrogen storage
596,596,596.0,596,[Co7(OH)4(H2O)2(ina)4(ip)3]·10H2O<|>1·10H2O,BIRSEC,Carbon Capture,Investigated,"Besides, the activated samples of 1 and 2 show storage capacity for H2 and CO2.",10.1021/ic401912k,Carbon dioxide storage
597,597,597.0,597,[Ni7(OH)4(H2O)2(ina)4(ip)3]·10H2O<|>2·10H2O,BIRSIG,Carbon Capture,Recommended,"Besides, the activated samples of 1 and 2 show storage capacity for H2 and CO2. The results indicate a practical way to design and explore multifunctional materials featuring magnetic properties and gas storage.",10.1021/ic401912k,CO2 storage
599,599,599.0,599,"UPR-2<|>Cu3(μ3-OH)(μ-4-Cl-pz)3(μ-4,4′-bipy)22·6H2O",BIFKEI,Carbon Capture,Recommended,"""With regard to their gas sorption properties, both UPR-1 and UPR-2 behave qualitatively in a similar manner (i.e., both sorb CO2 in preference to N2 or H2), even though their porosities differ greatly."" ""The cationic UPR-1 and UPR-2 discriminate against H2 in favor of CO2. The separation of CO2 impurities from H2 is a process of industrial importance.""",10.1021/cg400382k,CO2 separation
601,601,601.0,601,[Cu4(L)(H12O)4]·20DEF<|>1,CAYQIE,Hydrogen Storage,Investigated,Hydrogen adsorption experiments show 1 uptakes 1.7 wt % hydrogen at 77 K and 1 atm... All of the present MOF series thus exhibit significant hydrogen storage capacities.,10.1021/ic2024296,Hydrogen storage
602,602,602.0,602,[Cu4(L)(H22O)4]·16DMF·H2O<|>2,CAYQOK,Hydrogen Storage,Investigated,"Hydrogen adsorption experiments show 1 uptakes 1.7 wt % hydrogen at 77 K and 1 atm. 2 has a hydrogen uptake of 1.8 wt %, while 3 is capable of adsorbing 1.4% hydrogen at 1 atm and 77 K (Figure). All of the present MOF series thus exhibit significant hydrogen storage capacities.",10.1021/ic2024296,Hydrogen storage
603,603,603.0,603,[Cu4(L)(H32O)4]·14DMF<|>3,CAYQUQ,Hydrogen Storage,Investigated,"Hydrogen adsorption experiments show 1 uptakes 1.7 wt % hydrogen at 77 K and 1 atm. 2 has a hydrogen uptake of 1.8 wt %, while 3 is capable of adsorbing 1.4% hydrogen at 1 atm and 77 K (Figure). All of the present MOF series thus exhibit significant hydrogen storage capacities.",10.1021/ic2024296,Hydrogen storage
608,608,608.0,608,(H2NMe2)2­[Sr3(hedpH2)4(H2O)2]<|>compound 3,IGIZOP,Photoluminescence,Investigated,"Further, the photoluminescence properties of europium- and terbium-doped compounds of 1–4, namely, (H2NMe2)2­[LnSrx3–(hedpHx2)3­(hedpH2–)­(Hx2O)2] (3Ln), [LnBax3–­(hedpHx2)2­(hedpH2–)]·Hx2O (4Ln) (where Ln = Eu, Tb), were evaluated.",10.1021/ic5029993,Luminescent materials
609,609,609.0,609,(H2NMe2)2­[LnSrx3–(hedpHx2)3­(hedpH2–)­(Hx2O)2]<|>3Eu<|>3Tb,IGIZUV,Photoluminescence,Investigated,"Further, the photoluminescence properties of europium- and terbium-doped compounds of 1–4, namely, (H2NMe2)2­[LnSrx3–(hedpHx2)3­(hedpH2–)­(Hx2O)2] (3Ln), were evaluated.",10.1021/ic5029993,Luminescent materials
612,612,612.0,612,Ni-STA-12<|>St Andrews nanoporous material-12,QOVDEL,Catalysis,Investigated,"In addition, it may be that STA-12 can show characteristic catalytic activities, particularly given that STA-12 can be prepared in which Fe(II) and Co(II) can take the place of Ni(II) in the framework.",10.1021/ja804936z,Catalytic activities
